Date,Open,High,Low,Close,Volume,Symbol
2021-01-01,513.647028382186,515.0377378924762,504.58350340981053,505.92626953125,13592625,ICICIBANK
2021-01-04,510.52993602261097,513.11952289266,502.8571207270198,509.9544982910156,16549750,ICICIBANK
2021-01-05,505.1110096868941,517.8670525075586,501.6102645398296,515.2774658203125,23311516,ICICIBANK
2021-01-06,516.7160717050868,528.0814041126355,513.9346531935635,524.3409423828125,28178838,ICICIBANK
2021-01-07,529.5681549128975,531.7261342588523,517.6752675462828,518.9700317382812,21138034,ICICIBANK
2021-01-08,524.6286689921694,524.7245557537454,514.4142117104807,519.881103515625,21937965,ICICIBANK
2021-01-11,522.8543369829777,523.6695500464178,513.1194309062886,522.4227294921875,19394393,ICICIBANK
2021-01-12,518.8740561826386,528.1294116539622,515.1335358740694,525.5877685546875,16388310,ICICIBANK
2021-01-13,528.9446641454157,538.056131614829,525.8275831690374,533.7401733398438,21920297,ICICIBANK
2021-01-14,531.3903468663191,535.610418251796,528.0814339094029,530.6710205078125,13330898,ICICIBANK
2021-01-15,527.5060102206348,528.4651120573996,519.3536446081341,520.7922973632812,15708956,ICICIBANK
2021-01-18,522.2309982793616,525.971519203273,507.26903166158786,511.34521484375,21580313,ICICIBANK
2021-01-19,516.9558760898676,525.3480169354823,512.0644802697094,524.1011962890625,20575358,ICICIBANK
2021-01-20,524.1012469718398,531.917892363443,523.6696394073984,528.4651489257812,16097138,ICICIBANK
2021-01-21,532.3014422164275,538.0560524025511,527.2182149264695,530.0955200195312,18189277,ICICIBANK
2021-01-22,530.4791580501402,530.8628221682711,508.8993685311048,511.968505859375,24515997,ICICIBANK
2021-01-25,514.6060859942947,520.1209216327012,509.47491451152393,516.0447387695312,23415249,ICICIBANK
2021-01-27,515.8049513556309,517.1477173303118,497.8697354654614,500.98681640625,28049286,ICICIBANK
2021-01-28,493.55377502202055,508.1800778323068,491.0601336961666,506.6455383300781,29836591,ICICIBANK
2021-01-29,511.53697437988643,522.6625915308599,507.7965120974116,515.0377197265625,33172808,ICICIBANK
2021-02-01,529.4242464033179,584.5246620166673,528.4651445076596,579.105712890625,69354326,ICICIBANK
2021-02-02,587.9294318485382,598.479552159034,574.21428715268,592.1015014648438,42362384,ICICIBANK
2021-02-03,597.9041375000774,601.8364318062661,588.888556380952,596.8970336914062,27155908,ICICIBANK
2021-02-04,593.492230882047,605.8167251477457,584.0930441777774,602.6036987304688,29982222,ICICIBANK
2021-02-05,602.6037278196378,609.317441295194,586.0112762235503,589.032470703125,32015570,ICICIBANK
2021-02-08,596.8970965508898,608.0227146928298,596.8970965508898,603.8505859375,18230551,ICICIBANK
2021-02-09,605.528939822248,616.8943320603111,602.8914096901439,607.4471435546875,27155615,ICICIBANK
2021-02-10,607.4472012011291,612.0988808170962,600.7814894294751,606.2963256835938,23967387,ICICIBANK
2021-02-11,601.1170843507472,607.68690860618,598.5754410332529,604.8576049804688,16072702,ICICIBANK
2021-02-12,604.1382633655525,623.3202998776966,603.6587124527489,621.1143188476562,19049709,ICICIBANK
2021-02-15,628.2117858753268,649.1201969646111,625.3344799858214,646.3867797851562,27155194,ICICIBANK
2021-02-16,645.8592123613623,651.6138234894805,622.9845980037339,631.4246826171875,24966739,ICICIBANK
2021-02-17,628.0199389664081,637.7548470785972,622.7928216826061,630.4656372070312,21684753,ICICIBANK
2021-02-18,623.4162056878533,625.7180735551965,611.5233192714663,618.2850341796875,27845347,ICICIBANK
2021-02-19,609.5091931241188,609.5091931241188,593.6840134442637,598.5274658203125,24055811,ICICIBANK
2021-02-22,596.5613132872595,603.5627446453855,582.4625052686657,584.908203125,27092321,ICICIBANK
2021-02-23,589.6078862018652,597.5684201719565,584.140993727343,591.094482421875,23534585,ICICIBANK
2021-02-24,589.9434807051355,618.6206473058942,589.9434807051355,614.880126953125,17762047,ICICIBANK
2021-02-25,616.4147258455491,621.8816177005032,600.6854332346161,602.31591796875,38571809,ICICIBANK
2021-02-26,589.8476066254312,589.8476066254312,566.7332766756808,573.3031005859375,57349273,ICICIBANK
2021-03-01,582.7023346970133,586.826461067641,575.652959304134,583.4696044921875,21527318,ICICIBANK
2021-03-02,585.0521263228783,591.2862883246794,574.5020060121378,585.5316772460938,24051433,ICICIBANK
2021-03-03,592.7249775644374,607.8308325751816,588.7446812412707,606.248291015625,21036174,ICICIBANK
2021-03-04,593.4442840465557,605.0973952215884,590.6149218128098,595.3624877929688,25057198,ICICIBANK
2021-03-05,588.1212288776671,589.5598815615465,576.8997262356227,584.5245971679688,26645968,ICICIBANK
2021-03-08,586.5866847221433,590.8067563977,576.5641169358287,583.181884765625,19632433,ICICIBANK
2021-03-09,589.7037518887294,602.6516269259059,587.2580538672711,599.5345458984375,23056249,ICICIBANK
2021-03-10,603.0352933902318,604.7137216422126,596.3695237674361,600.0140991210938,15838994,ICICIBANK
2021-03-12,605.6249141869787,611.9070200043144,583.4696248910477,587.7855834960938,21757862,ICICIBANK
2021-03-15,586.874472491116,587.7855724594814,566.4455553130019,578.8179931640625,24347946,ICICIBANK
2021-03-16,582.0309530412403,582.1748417389566,569.3708550437967,570.61767578125,17925629,ICICIBANK
