Date,Open,High,Low,Close,Volume,Symbol
2021-01-01,2479.533664518057,2531.1906158621828,2478.672715328988,2521.074462890625,2681440,TCS
2021-01-04,2539.79943672027,2626.5400446014796,2532.007806579266,2616.811279296875,5113293,TCS
2021-01-05,2616.940690227785,2681.2104496331494,2616.940690227785,2662.915283203125,5801309,TCS
2021-01-06,2668.941816204633,2680.564627339718,2614.874178663641,2627.185791015625,3726716,TCS
2021-01-07,2647.418435112393,2652.4550713343,2583.062491039336,2611.08642578125,3717827,TCS
2021-01-08,2660.333274766909,2693.049347401583,2634.504796371114,2686.9365234375,5879039,TCS
2021-01-11,2780.8660814731584,2780.8660814731584,2709.019908496546,2734.76220703125,9508039,TCS
2021-01-12,2734.7619140231536,2763.6468003456735,2711.9898508065016,2733.384521484375,3611458,TCS
2021-01-13,2733.513343203706,2735.235241372653,2691.5420753356175,2719.695068359375,3572801,TCS
2021-01-14,2721.4631268941703,2817.641617749543,2691.61751993429,2804.0126953125,6931542,TCS
2021-01-15,2790.4707926772085,2824.1117079521423,2768.906103398405,2789.047607421875,4131692,TCS
2021-01-18,2803.4091101982617,2809.231575273289,2749.411053561698,2779.041015625,4160906,TCS
2021-01-19,2788.745285260134,2828.4243088054377,2787.882697791758,2812.638916015625,2975735,TCS
2021-01-20,2820.6607181001477,2870.6476143956615,2818.1592989480555,2854.129150390625,3453446,TCS
2021-01-21,2850.851447721759,2854.4311013086226,2813.846531321214,2823.98193359375,2778546,TCS
2021-01-22,2796.4223664998394,2868.103472870908,2796.4223664998394,2849.212890625,3052459,TCS
2021-01-25,2854.259009732699,2880.869919684752,2828.1225650480674,2839.034423828125,2272887,TCS
2021-01-27,2846.5379167181054,2852.1015623459,2783.569047651311,2812.940185546875,2786662,TCS
2021-01-28,2786.1574631585613,2824.973898403804,2746.3059650919727,2757.303955078125,3083938,TCS
2021-01-29,2768.948861893027,2774.814498620506,2674.0210717281498,2683.8115234375,5445659,TCS
2021-02-01,2674.0207273195015,2730.0889038600712,2625.802179731655,2707.963623046875,3985846,TCS
2021-02-02,2737.852699851867,2780.9820744557087,2717.150600042023,2763.255859375,2881837,TCS
2021-02-03,2771.4939536086663,2791.3334683715048,2728.062583792948,2760.323486328125,2505866,TCS
2021-02-04,2774.124884737819,2792.929336479681,2739.578209343401,2750.3173828125,2057261,TCS
2021-02-05,2759.3738955726767,2765.3258749331653,2699.035949619647,2724.0078125,2366135,TCS
2021-02-08,2751.2226474927297,2782.707089139848,2721.5926846096877,2772.4423828125,2526592,TCS
2021-02-09,2755.9666755606227,2799.7861565268718,2729.226466814964,2740.353759765625,2658751,TCS
2021-02-10,2747.34165714597,2777.0145879813667,2723.4480214299883,2771.7529296875,2127983,TCS
2021-02-11,2773.2186091965013,2776.927777293114,2747.3841575839447,2765.455322265625,1165882,TCS
2021-02-12,2746.650832906159,2799.52748410672,2744.7531826922145,2752.343994140625,2777404,TCS
2021-02-15,2768.0428515244666,2768.0428515244666,2701.2355022903666,2708.39501953125,2630853,TCS
2021-02-16,2717.150376031372,2732.3749597743044,2674.021004983255,2681.61181640625,3435770,TCS
2021-02-17,2678.4209192407247,2702.3577258399814,2627.053784041622,2650.818115234375,3678426,TCS
2021-02-18,2643.8303988706775,2672.209440285452,2614.5024270724384,2637.231689453125,4189909,TCS
2021-02-19,2637.792094735,2662.9364315448893,2601.6927301955807,2649.739013671875,3725028,TCS
2021-02-22,2670.570824384041,2670.570824384041,2538.7242445051543,2551.921875,5366696,TCS
2021-02-23,2561.8847554976905,2611.9148281639755,2560.1595805781635,2570.68310546875,3832829,TCS
2021-02-24,2563.6096502829137,2590.6518484285643,2519.7469985099015,2542.993896484375,3774549,TCS
2021-02-25,2565.3348545968297,2613.553404647597,2560.547452544542,2583.7080078125,4224073,TCS
2021-02-26,2553.2588677587523,2563.9119070690585,2484.25187133284,2496.5869140625,5553153,TCS
2021-03-01,2523.9311176442743,2557.572031379109,2503.0565414965754,2522.37841796875,3265871,TCS
2021-03-02,2553.2580142455627,2609.326180098928,2542.9069682418644,2593.239013671875,3306469,TCS
2021-03-03,2617.9527702709497,2642.9678049786457,2585.0881059524086,2638.7412109375,3509857,TCS
2021-03-04,2607.6017705058875,2658.0199630833813,2601.606830055768,2630.6328125,3916760,TCS
2021-03-05,2601.649925333204,2642.2776652670846,2584.829471136932,2594.7060546875,3203686,TCS
2021-03-08,2601.563537985365,2616.227523444832,2584.311790385993,2593.757080078125,2003125,TCS
2021-03-09,2593.7568519784845,2645.468918741427,2580.9475568679964,2631.710693359375,1942397,TCS
2021-03-10,2652.456411920203,2668.155461410439,2639.517600154739,2648.962890625,3053778,TCS
2021-03-12,2652.4561803119,2688.6848500917695,2623.4301993562667,2637.7490234375,2938317,TCS
2021-03-15,2623.1282768065803,2673.158345880826,2623.1282768065803,2644.822265625,3097083,TCS
2021-03-16,2639.5178810504785,2709.387472019462,2639.5178810504785,2682.6904296875,4894756,TCS
2021-03-17,2678.334122051727,2721.46349599781,2661.3411908354997,2685.191650390625,3838390,TCS
