Date,Open,High,Low,Close,Volume,Symbol
2021-01-01,1083.9000837645226,1090.4487871704575,1082.0905888370053,1086.0972900390625,4253550,INFY
2021-01-04,1093.4645299158258,1111.5596876212885,1086.7004086676557,1110.0517578125,7208454,INFY
2021-01-05,1104.6664299105278,1119.3148927096533,1098.6778357224719,1114.834228515625,8145280,INFY
2021-01-06,1120.1764302130741,1121.8997785672482,1092.6459823290795,1104.75244140625,7161715,INFY
2021-01-07,1116.7297849912563,1118.151568485968,1081.8319792102795,1087.5621337890625,10954918,INFY
2021-01-08,1101.435011419496,1134.6525928560131,1101.435011419496,1130.6026611328125,13186251,INFY
2021-01-11,1156.4531077577685,1191.997174193044,1154.6436126853075,1185.836181640625,20528626,INFY
2021-01-12,1187.386928051531,1187.386928051531,1171.876794013122,1182.00146484375,8309868,INFY
2021-01-13,1183.8110536129677,1200.139842468759,1171.8768872321662,1195.2713623046875,14442997,INFY
2021-01-14,1171.8769809148123,1192.5571629309559,1136.0743737254254,1180.924560546875,27521697,INFY
2021-01-15,1171.8768069574498,1175.7112147298128,1154.6433245021933,1158.9085693359375,15018441,INFY
2021-01-18,1152.920096119261,1154.6434445439536,1125.3465213241816,1130.5596923828125,8861765,INFY
2021-01-19,1137.4099028583078,1146.8883187154604,1130.5165095076513,1134.5233154296875,5585744,INFY
2021-01-20,1137.883875806407,1161.8814805840243,1137.883875806407,1154.16943359375,8225838,INFY
2021-01-21,1163.2600510513976,1172.7815920617124,1150.3349393730487,1154.384765625,6142421,INFY
2021-01-22,1143.441566797093,1168.4301164859517,1143.053855513784,1155.375732421875,9646591,INFY
2021-01-25,1158.9519046092023,1161.4507810538796,1131.378327696567,1141.8045654296875,6542611,INFY
2021-01-27,1137.0652043305388,1143.9155770365226,1107.3374457103669,1121.0380859375,8133665,INFY
2021-01-28,1113.1107808566571,1117.1174817647845,1096.5235523990264,1099.6685791015625,4660690,INFY
2021-01-29,1108.32845129276,1112.5506759537004,1060.7209512469485,1067.657470703125,12183519,INFY
2021-02-01,1077.566678701436,1101.176466884617,1069.3376482785413,1086.4849853515625,8880279,INFY
2021-02-02,1102.9429695181907,1115.351098962238,1088.8114916842712,1095.4033203125,6892490,INFY
2021-02-03,1100.9179880401161,1123.6230806340604,1096.911182244754,1106.94970703125,8182968,INFY
2021-02-04,1107.251292527457,1114.4893764883388,1096.0926542603552,1102.3828125,5032240,INFY
2021-02-05,1108.4576020295785,1110.4825151618702,1087.4327325969195,1096.1356201171875,5477481,INFY
2021-02-08,1107.6820914790796,1128.7931076138423,1099.0653501995846,1123.2353515625,6921922,INFY
2021-02-09,1126.1221015084686,1147.7501042069305,1118.3239074502417,1124.9588623046875,7965949,INFY
2021-02-10,1116.5575146413062,1123.924766232091,1106.0450258741864,1117.16064453125,5951207,INFY
2021-02-11,1110.6980078831743,1116.7297270881256,1105.5710886329,1113.8431396484375,4673317,INFY
2021-02-12,1124.484893216906,1140.641285360827,1121.5121591363622,1128.6209716796875,5797875,INFY
2021-02-15,1137.410006642959,1144.648091358565,1126.2943878137974,1128.49169921875,4363513,INFY
2021-02-16,1132.2399092154096,1137.194535910987,1108.113031393468,1111.9044189453125,6896421,INFY
2021-02-17,1111.9044468739928,1115.4372901782608,1098.6346427016474,1104.063232421875,4575741,INFY
2021-02-18,1099.4962778682911,1125.3465038369814,1098.6346036693349,1113.6707763671875,6437551,INFY
2021-02-19,1116.8157821474692,1119.7454951301386,1100.185535095986,1112.6798095703125,5389696,INFY
2021-02-22,1115.8681194822566,1127.543847285139,1085.7095216584119,1090.190185546875,7371303,INFY
2021-02-23,1095.3172307680072,1112.42144338809,1083.5984821457366,1091.18115234375,6612942,INFY
2021-02-24,1085.7526365780805,1100.013281724026,1078.8161170740752,1098.031494140625,4537258,INFY
2021-02-25,1110.2240126677355,1119.960972603115,1096.0495150230138,1098.246826171875,8788221,INFY
2021-02-26,1093.4643980919905,1098.0313127505435,1072.5688018321553,1079.9361572265625,15132388,INFY
2021-03-01,1088.5530584727862,1106.820509431112,1084.8478173404203,1091.7412109375,5756286,INFY
2021-03-02,1104.881584802045,1128.7930404294627,1102.253436794291,1124.0538330078125,10461434,INFY
2021-03-03,1136.7205420391444,1160.6751264405077,1127.0698332473528,1157.702392578125,9056399,INFY
2021-03-04,1150.3350531237788,1175.194332673044,1142.4938389671688,1146.3282470703125,12041941,INFY
2021-03-05,1144.7343273097638,1154.6435819308117,1124.5281066999157,1134.5665283203125,6486176,INFY
2021-03-08,1141.5460327392925,1159.8996302572925,1134.9972246111543,1150.9813232421875,5119392,INFY
2021-03-09,1145.5957474208333,1163.6477782378126,1136.332750591368,1159.4256591796875,6518173,INFY
2021-03-10,1169.2057017251611,1183.9403089878242,1167.568499766013,1178.8995361328125,7925984,INFY
2021-03-12,1183.0786532905622,1199.1919184391575,1180.5367565245792,1184.6727294921875,9462061,INFY
2021-03-15,1180.4935751787755,1189.0241702261578,1170.5843225404135,1183.5955810546875,6658635,INFY
2021-03-16,1194.323480892539,1211.513837869457,1189.5411473533322,1192.5570068359375,9352771,INFY
2021-03-17,1199.6660018293824,1206.3439774186643,1190.8338405661386,1195.1422119140625,7626744,INFY
2021-03-18,1200.9585220891945,1200.9585220891945,1131.809161445135,1152.1446533203125,10961755,INFY
2021-03-19,1146.026633655761,1167.740780430042,1135.6865437280399,1158.477783203125,12767112,INFY
2021-03-22,1163.3461449063454,1185.6635244337417,1151.2827078844905,1181.182861328125,4862758,INFY
2021-03-23,1182.6046462206853,1191.9107691234879,1171.5321544195988,1181.8292236328125,7165335,INFY
2021-03-24,1170.0242982818368,1180.8813722284217,1160.028898540296,1166.491455078125,6134303,INFY
2021-03-25,1160.4595403235624,1165.4141661686415,1143.958461037334,1149.3009033203125,8749994,INFY
2021-03-26,1158.6931263734227,1169.033215628549,1147.7499073190118,1151.368896484375,4922071,INFY
2021-03-30,1160.5890562717839,1206.3439374331733,1151.326058180779,1193.6773681640625,10546381,INFY
2021-03-31,1190.83366672419,1196.0037115869577,1174.7204023091629,1178.8133544921875,8220987,INFY
2021-04-01,1189.1106438936024,1199.1060456603736,1181.355574476905,1193.59130859375,5675155,INFY
2021-04-05,1198.5888478178297,1227.885771488431,1195.142150915406,1214.87451171875,9479572,INFY
2021-04-06,1226.162443610447,1228.7474663306377,1211.9016928634576,1215.865478515625,5793571,INFY
2021-04-07,1215.1763368116517,1236.4596526666178,1212.0312041778964,1232.36669921875,5879234,INFY
2021-04-08,1232.1941703487278,1250.8924593912707,1224.4391021437357,1240.681640625,5654434,INFY
2021-04-09,1253.7358884927696,1253.7358884927696,1232.2371605200397,1241.715576171875,6052712,INFY
2021-04-12,1270.1077622934201,1273.166747756868,1219.2689848339141,1228.531982421875,20384532,INFY
2021-04-13,1234.7790588105163,1236.7178256509376,1184.8019580352127,1203.8880615234375,14855206,INFY
2021-04-15,1148.0087234239115,1177.3917963102572,1137.4100873541704,1172.5233154296875,25342491,INFY
2021-04-16,1176.1852898848683,1181.226062947407,1160.3304634750934,1166.491455078125,10879878,INFY
2021-04-19,1154.6435435911633,1188.8519706818274,1148.0517142642886,1174.0743408203125,12508028,INFY
2021-04-20,1188.248651092987,1188.248651092987,1156.7113982865865,1164.42333984375,8560766,INFY
2021-04-22,1168.04239869778,1176.0128843300108,1159.0809667878193,1164.2078857421875,6622446,INFY
2021-04-23,1157.2282625985106,1161.8813235595494,1146.8881738783452,1149.3009033203125,7316262,INFY
2021-04-26,1147.9654322200197,1164.380367507534,1138.271597645071,1157.702392578125,7088606,INFY
2021-04-27,1159.8135877247869,1165.8453077203837,1154.7728141940079,1161.9677734375,3636115,INFY
2021-04-28,1170.1535241231102,1171.4460353795055,1158.6070691956795,1168.43017578125,4879234,INFY
2021-04-29,1178.7703372600251,1179.6320114831685,1164.4665661928148,1168.7318115234375,5412357,INFY
2021-04-30,1160.0718873604987,1183.854071574896,1159.7271966822093,1167.00830078125,8354677,INFY
2021-05-03,1155.332655796906,1172.7384302483372,1152.9199262838172,1165.0264892578125,4560337,INFY
2021-05-04,1166.7069310758193,1167.5254795369788,1140.9428500394654,1145.509765625,4887060,INFY
2021-05-05,1155.5912223767866,1158.0039521560068,1144.1310188875818,1155.9359130859375,3939788,INFY
2021-05-06,1158.9518439960027,1175.9267843211148,1152.4031408587186,1173.255615234375,4810090,INFY
2021-05-07,1176.4439891628188,1183.1219651314254,1161.967818537575,1165.4576416015625,4991435,INFY
2021-05-10,1163.1310416212618,1165.7591903300936,1150.3783249956527,1154.255859375,7195348,INFY
2021-05-11,1151.9725010141478,1155.5053449393317,1141.8047012442423,1146.5870361328125,6420988,INFY
2021-05-12,1146.0266729612142,1146.0266729612142,1132.6707230131701,1143.441650390625,5241898,INFY
2021-05-14,1143.3123140362059,1143.3123140362059,1129.913344241812,1134.307861328125,4824609,INFY
2021-05-17,1137.6685510099821,1150.2919945875576,1137.6685510099821,1145.509765625,5017129,INFY
2021-05-18,1152.9200842102962,1158.6071129160698,1145.5958534810081,1154.6434326171875,5620150,INFY
2021-05-19,1156.3667204007338,1169.6795440720994,1148.8270715158558,1152.058349609375,4435878,INFY
2021-05-20,1161.8814972847088,1162.48462714297,1150.3350421171274,1154.040283203125,4490092,INFY
2021-05-21,1161.10597595688,1169.7227178934802,1160.1150295972031,1167.1376953125,4969733,INFY
2021-05-24,1168.9904560421035,1174.46206679099,1159.038075837983,1161.580078125,4225371,INFY
2021-05-25,1170.1536090309082,1178.770351365451,1167.0946234282085,1173.255615234375,4099340,INFY
2021-05-26,1178.6841271197163,1206.343847149535,1173.6433542239515,1203.9742431640625,6850024,INFY
2021-05-27,1209.9626930741028,1220.3459077434843,1199.1917671452106,1208.282470703125,15365391,INFY
2021-05-28,1214.7450164723891,1218.4071312587043,1202.983144415848,1210.6951904296875,4261312,INFY
2021-05-31,1220.6680058856502,1220.6680058856502,1204.5550140134528,1213.91796875,4429904,INFY
2021-06-01,1219.361380056322,1220.232352470648,1200.7661402744382,1208.212890625,4791325,INFY
2021-06-02,1202.595378558746,1212.3502288353206,1188.8775605523726,1200.766357421875,9272276,INFY
2021-06-03,1208.9967520267799,1218.4903723317955,1199.3725709192988,1210.3468017578125,5115645,INFY
2021-06-04,1214.09216769656,1216.6616005621086,1199.895378641077,1206.8631591796875,4194328,INFY
2021-06-07,1211.5225932191047,1212.393565608191,1199.5903140165703,1210.3468017578125,5154576,INFY
2021-06-08,1215.8779239812816,1238.3054716478418,1215.486028783035,1230.640869140625,7360630,INFY
2021-06-09,1231.0326308810106,1241.1358912581513,1223.3680298666877,1232.6875,5394317,INFY
2021-06-10,1240.2649108243102,1244.619773572991,1235.9100480756292,1240.5262451171875,3496575,INFY
2021-06-11,1245.5775823901204,1264.303488605464,1245.0114290777753,1260.2099609375,6140828,INFY
2021-06-14,1281.2006492490314,1286.426484664051,1265.9150381321408,1273.187744140625,7132294,INFY
2021-06-15,1275.103669819977,1285.5553392447312,1274.2326973679144,1283.726318359375,5403104,INFY
2021-06-16,1282.681306907179,1297.2700979732745,1278.1522919101415,1289.56201171875,7661710,INFY
2021-06-17,1284.7715259128947,1308.7668610479423,1284.7715259128947,1302.365234375,7677951,INFY
2021-06-18,1314.2973860242691,1320.2200410273454,1295.4844029554913,1309.3328857421875,13533974,INFY
2021-06-21,1300.3619509541468,1311.5104415545813,1292.6973503763622,1306.7200927734375,5454052,INFY
2021-06-22,1314.907051074631,1325.1409772519048,1308.2876817899016,1316.7796630859375,6427862,INFY
2021-06-23,1328.2332451261002,1328.2332451261002,1305.2831378595408,1309.2025146484375,5529809,INFY
2021-06-24,1321.2652671274627,1366.3380934780537,1316.2135841582835,1358.020263671875,10785137,INFY
2021-06-25,1369.1684981349808,1374.394332097328,1343.9103006503024,1371.0845947265625,9780240,INFY
2021-06-28,1369.9525552441462,1376.2671053562678,1359.23955183632,1368.9945068359375,5019178,INFY
2021-06-29,1359.5883648303184,1370.6061905882805,1358.0205714652668,1361.3739013671875,5913567,INFY
2021-06-30,1369.2124860237218,1385.7173738759964,1369.2124860237218,1376.83349609375,6058722,INFY
2021-07-01,1373.3928839350976,1373.3928839350976,1357.8896381461875,1359.0654296875,4814317,INFY
2021-07-02,1357.8025504266625,1366.9477617714929,1343.562171167975,1365.5107421875,5166064,INFY
2021-07-05,1366.6864575080867,1380.491349741526,1359.6316018427842,1375.221923828125,4058338,INFY
2021-07-06,1370.6494852954324,1382.015719815571,1356.1913619563304,1360.63330078125,4089574,INFY
2021-07-07,1363.986484620662,1367.9058607513202,1345.3476524242224,1362.7235107421875,4797120,INFY
2021-07-08,1365.6850347389075,1372.6528155283918,1349.1365553638825,1359.3704833984375,3326813,INFY
2021-07-09,1355.2331885032247,1367.3397273251671,1350.8783260723017,1361.242919921875,3436594,INFY
2021-07-12,1367.9059052074665,1374.3946078178155,1335.854074613799,1348.134765625,4588982,INFY
2021-07-13,1355.5814624040297,1355.5814624040297,1338.0749384566736,1345.6087646484375,4456160,INFY
2021-07-14,1353.4914729990367,1378.5755273818056,1339.6429868568807,1373.436767578125,5657716,INFY
2021-07-15,1356.8882027607826,1390.8125422016935,1355.2333335958833,1376.83349609375,10021355,INFY
2021-07-16,1370.6928663714386,1371.4767628250784,1349.6588608514694,1354.7540283203125,6265593,INFY
2021-07-19,1345.391360236307,1352.533399494465,1339.1639910747317,1342.7784423828125,5669162,INFY
2021-07-20,1339.8170980665798,1356.7138802520703,1339.5557637771587,1350.051025390625,5069939,INFY
2021-07-22,1359.9364422808278,1387.3284840624563,1359.9364422808278,1385.0203857421875,7854575,INFY
2021-07-23,1383.5836403476194,1392.2497756537243,1380.5352360843801,1385.2384033203125,4179719,INFY
2021-07-26,1388.4173074229864,1403.7029180573702,1388.4173074229864,1396.952880859375,4586710,INFY
2021-07-27,1397.9108175675212,1401.6560417250942,1391.7269342802642,1395.7769775390625,5892859,INFY
2021-07-28,1397.9979854150688,1400.1754167381625,1380.9269451059924,1398.4334716796875,4686788,INFY
2021-07-29,1393.643333732492,1410.9757109519944,1393.643333732492,1408.36279296875,4660873,INFY
2021-07-30,1402.2655636048103,1413.9366150254957,1398.9123411297298,1402.7010498046875,6234257,INFY
2021-08-02,1417.4642058801662,1423.8223478971256,1410.278682485059,1421.0352783203125,5553389,INFY
2021-08-03,1434.4916134182358,1444.6384636417272,1424.5625063054636,1441.633544921875,5513668,INFY
2021-08-04,1453.7403226615859,1463.14686912244,1427.5676602328276,1436.4515380859375,6740391,INFY
2021-08-05,1436.6689304912002,1451.039974657981,1434.5350907034747,1440.1964111328125,5420536,INFY
2021-08-06,1443.2015868253418,1446.3806580542653,1431.8789431145817,1437.2789306640625,3754855,INFY
2021-08-09,1446.6853193592076,1452.3030494440573,1433.9691421507919,1448.6885986328125,5018477,INFY
2021-08-10,1452.7821274360933,1463.233797417648,1446.7289110997303,1460.838623046875,6846517,INFY
